Feature ID	kingdom	phylum	class	order	family	genus	species	Confidence
03688da038094dc92e6e90c8f8cbae21	Bacteria	Firmicutes	Clostridia	Clostridiales	Veillonellaceae	Megasphaera		0.999823036397
35cfce9b34718b763235456686a85282	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae			0.753053817397
50744955bd234a408e704f2b835fa259	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae			0.98415030717
8051f5ff7dfff43f8337947e6d1dbc87	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium		0.916908280615
c98b80e773844a8f3c8c35082ba445f8	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus		0.999059336745
d44f07f1ab0a78a87364f64cd1072d39	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	paraputrificum	0.974025636658
fb35b9282a608b24e8997485426c32f4	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Pseudoramibacter_Eubacterium		0.999999991757
fa1e278fda21bf8ab81ac6ab672bdb4a	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Oscillospira		0.999968000469
532c6de8b94799af385960045ef66721	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae			0.865814574469
09664733183ede3e60a8559ae79b6cd5	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Citrobacter	koseri	0.948452186337
681fb300a259bc2d327d0b1946e06992	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Clostridium	bifermentans	0.990310088345
74a0dddf38f39ed4566af38c6c9759a7	Bacteria	Firmicutes	Bacilli	Lactobacillales				0.99999999984
1c98e80af3f8fa8ddfdb7368fd7e1178	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae			0.781064699244
c5d7ff52acb6d3972856412c29afd763	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae			0.999962368514
25d35a460cf770f3cd56cb1c86873c61	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium		0.850643554965
a0d443ad09266f765b0506de8de16abc	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Klebsiella		0.72599815683
